Choice ID,Omaha Code,Column2,SNOMED CT concept ID,SNOMED CT,POC  Notes,KBS,Mapping Status,PR,Category,TG,CD,POC_INTRVN_ID,Pathway,PR ID,SSX ID,S&S,Goal PR,LTG Statement,LTG Topic,LTG ID,STG Statement,STG Topic,STG ID,Goal Notes
OMAHA,16.08,P,56890008,Victim of sexual aggression (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1608,Assaulted sexually,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16,P,95921002,Elderly person maltreatment (event),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.02,P,125666000,Burn (disorder),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1602,Welts/Bruises/Burns/Other Injuries resulting from others discipline/punishment,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.04,P,225825002,Victim of verbal abuse (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1604,Attacked verbally,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16,P,386702006,Victim of abuse (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16,P,397940009,Victim of child abuse (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.06,P,422722002,Victim of violent environment (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1606,Violent environment,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.05,P,423170008,Fear of abuse (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1605,Fearful/hypervigilant behavior,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.01,P,423344000,Victim of harsh discipline (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1601,Harsh/excessive discipline,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.07,P,423402005,Victim of consistent negative messages (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1607,Consistent negative messages,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.05,P,423752000,Hypervigilant behavior (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1605,Fearful/hypervigilant behavior,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.03,P,424092004,Questionable explanation of injury (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1603,Questionable explanation of injury,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,16.01,P,424509006,Victim of excessive discipline (finding),,,PB0016,Abuse,Surveillance,,,Intv ID,,POC_PROB_ID,SS1601,Harsh/excessive discipline,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.03,P,15280003,Decreased bowel sounds (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3103,Decreased bowel sounds,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.06,P,43364001,Abdominal discomfort (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3106,Cramping/abdominal discomfort,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.06,P,51197009,Stomach cramps (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3106,Cramping/abdominal discomfort,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.07,P,72042002,Incontinence of feces (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3107,Incontinent of stool,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.02,P,225595004,Pain associated with defecation (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3102,Painful defecation,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31,P,249562008,Bowel finding (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.05,P,271863002,Stool color abnormal (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3105,Abnormal color,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.04,P,405729008,Hematochezia (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3104,Blood in stools,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.01,P,422784003,Abnormal consistency of stool (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3101,Abnormal frequency/consistency of stool,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,31.01,P,425064003,Abnormal frequency of defecation (finding),,,PB0031,Bowel function,Surveillance,,,Intv ID,,POC_PROB_ID,SS3101,Abnormal frequency/consistency of stool,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14,P,129879003,Parenting finding (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14,P,129880000,Finding related to dependent adult care (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.10,P,422596007,Caregiver difficulty interpreting non-verbal communication (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1410,Difficulty interpreting or responding to verbal/nonverbal communication,#REF!,,#REF!,#REF!,,#REF!,#REF!,
